INIT;DRIVER_INIT_ZERO;DRIVER_INIT_LIST_ONE;ECUM_STATE_STARTUP_TWO;DRIVER_INIT_TWO;NVM_READALL;NVM_READALL_FINISHED;DRIVER_INIT_THREE;OPERATION;PREP_SHUTDOWN;ON_GO_OFF_ONE_A_CALLOUT;NVM_WRITEALL;NVM_WRITEALL_FINISHED;SHUTDOWN_2;PHASE_LAST;NUMBER_OF_PHASE;
0;0;19798;1881;23571;22650;3051;17458;154265058;10001;9986;10027;0;0;0;0;
0;0;19825;1886;23569;22824;2876;17483;154265027;10003;9987;10024;0;0;0;0;
0;0;19840;1887;23634;23019;2612;17521;153165000;10004;9979;10024;0;0;0;0;
0;0;19825;1884;23562;23111;2596;17481;154265035;10000;9989;10025;0;0;0;0;
0;0;19839;1886;23642;23281;2343;17526;155164991;10000;9983;10027;0;0;0;0;
0;0;19796;1885;23562;23271;2436;17475;153365041;10005;9975;10034;0;0;0;0;
0;0;19826;1884;23561;23408;2298;17474;153165048;9999;9977;0;0;0;0;0;
0;0;19826;1884;23563;21406;4300;17466;152965048;10007;9983;10024;0;0;0;0;
0;0;19825;1885;23571;21498;4199;17445;154065073;10002;9982;10026;0;0;0;0;
0;0;19796;1885;23564;21614;4090;17440;155365077;10002;9980;10027;0;0;0;0;
0;0;19840;1886;23633;21864;3769;17519;155165003;9999;9991;10023;0;0;0;0;
0;0;19839;1887;23634;21971;3660;17502;155165015;10000;9986;10026;0;0;0;0;
0;0;19839;1887;23641;22045;3579;17502;152165018;10003;9977;10025;0;0;0;0;
0;0;19796;1883;23569;22076;3623;17446;155265070;10001;9986;10025;0;0;0;0;
0;0;19794;1885;23571;22167;3529;17437;154165077;10003;9983;10029;0;0;0;0;
0;0;19837;1887;23640;22460;3163;17498;153165025;10000;9984;10025;0;0;0;0;
0;0;19793;1885;23560;22442;3266;17460;154065058;10004;9979;10025;0;0;0;0;
0;0;19840;1887;23630;22677;2959;17517;153265002;10002;9983;10025;0;0;0;0;
0;0;19824;1885;23563;22708;2997;17452;155265069;9999;9984;10020;0;0;0;0;
0;0;19796;1884;23562;22810;2896;17464;153065055;10004;9976;10027;0;0;0;0;
0;0;19825;1884;23561;22926;2781;17454;154165065;9999;9982;10038;0;0;0;0;
0;0;19825;1884;23566;23068;2634;17450;156265065;10003;10028;9978;0;0;0;0;
0;0;19839;1887;23639;23285;2340;17514;157065008;10000;9982;10026;0;0;0;0;
0;0;19838;1887;23638;23434;2192;17541;155264983;9996;9987;0;0;0;0;0;
0;0;19839;1886;23630;21633;4002;17539;154164981;10001;9985;10031;0;0;0;0;
0;0;19838;1886;23635;21688;3944;17543;153164974;10002;9984;10022;0;0;0;0;
0;0;19840;1886;23631;21840;3797;17540;154164978;9998;9988;10037;0;0;0;0;
0;0;19827;1884;23564;21889;3815;17497;151965021;9998;9985;10024;0;0;0;0;
0;0;19825;1885;23561;21965;3742;17473;153165044;10005;9985;10018;0;0;0;0;
0;0;19837;1887;23630;22199;3439;17522;153064994;10002;9985;10023;0;0;0;0;
0;0;19838;1887;23633;22315;3316;17536;153964986;10006;9978;10022;0;0;0;0;
0;0;19827;1884;23561;22328;3376;17461;154965061;10001;9982;10022;0;0;0;0;
0;0;19839;1887;23634;22567;3065;17522;153164998;9998;9984;10024;0;0;0;0;
0;0;19837;1888;23646;22697;2922;17547;153164975;9999;9981;10020;0;0;0;0;
0;0;19839;1886;23630;22781;2854;17533;154264986;10002;9983;10025;0;0;0;0;
0;0;19840;1887;23639;22914;2713;17538;157164979;10005;9984;10017;0;0;0;0;
0;0;19824;1885;23566;22913;2787;17474;153265045;10005;9982;10025;0;0;0;0;
0;0;19840;1886;23628;23169;2470;17547;152964971;10005;9984;10018;0;0;0;0;
0;0;19839;1887;23637;23278;2352;17525;153064992;10007;9982;10033;0;0;0;0;
0;0;19825;1885;23560;23273;2436;17482;153365035;10002;9982;10022;0;0;0;0;
0;0;19827;1885;23556;23439;2275;17473;154965041;10002;9985;0;0;0;0;0;
0;0;19841;1886;23640;21539;4089;17519;154265000;9999;9983;10026;0;0;0;0;
0;0;19837;1888;23634;21619;4012;17505;153065013;10003;9978;10041;0;0;0;0;
0;0;19840;1887;23634;21695;3935;17483;151165036;10000;9990;10016;0;0;0;0;
0;0;19837;1888;23640;21866;3760;17519;152975002;9998;9982;10040;0;0;0;0;
0;0;19837;1888;23633;21959;3671;17490;152965033;9999;9980;10029;0;0;0;0;
0;0;19827;1884;23560;21960;3747;17437;153065081;9997;9991;10034;0;0;0;0;
0;0;19825;1884;23558;22090;3621;17451;154165069;9998;9982;10023;0;0;0;0;
0;0;19826;1884;23558;22211;3499;17444;154165072;10002;9986;10019;0;0;0;0;
0;0;19838;1887;23631;22441;3192;17503;153065017;10005;9980;10020;0;0;0;0;
0;0;19827;1885;23562;22454;3252;17455;154065063;10002;9977;10029;0;0;0;0;
0;0;19824;1884;23562;22577;3128;17450;153065068;10001;9985;10021;0;0;0;0;
0;0;19826;1884;23573;22717;2979;17444;154165074;10000;9984;10028;0;0;0;0;
0;0;19838;1886;23633;22918;2716;17499;154065022;9998;9980;10026;0;0;0;0;
0;0;19825;1885;23564;22931;2774;17463;154065052;10004;9979;10023;0;0;0;0;
0;0;19826;1885;23562;23037;2670;17437;153265077;10006;9978;10024;0;0;0;0;
0;0;19826;1885;23570;23159;2539;17446;155065074;9998;9983;10023;0;0;0;0;
0;0;19836;1887;23644;23396;2225;17497;152965023;10001;9980;0;0;0;0;0;
0;0;19827;1884;23561;21505;4201;17488;152265029;10002;9982;10026;0;0;0;0;
0;0;19839;1886;23631;21750;3885;17555;153964964;10004;9982;10028;0;0;0;0;
0;0;19825;1884;23561;21711;3997;17472;152265046;9996;9987;10025;0;0;0;0;
0;0;19826;1884;23561;21863;3844;17479;153065040;9998;9986;10034;0;0;0;0;
0;0;19838;1887;23641;22067;3557;17533;152064986;10002;9987;10023;0;0;0;0;
0;0;19837;1885;23627;22161;3477;17545;154064974;10004;9985;10028;0;0;0;0;
0;0;19838;1886;23633;22272;3362;17529;156264991;9996;10027;9983;0;0;0;0;
0;0;19837;1886;23624;22402;3239;17541;152264982;10000;9982;10025;0;0;0;0;
0;0;19809;1886;23635;22563;3067;17543;154164979;9999;9983;10024;0;0;0;0;
0;0;19796;1884;23563;22565;3140;17463;156165055;9999;9986;10028;0;0;0;0;
0;0;19825;1884;23559;22672;3037;17462;153065055;10001;9987;10022;0;0;0;0;
0;0;19840;1887;23638;22931;2698;17541;153264977;10001;9985;10027;0;0;0;0;
0;0;19838;1888;23640;22998;2629;17543;154964975;10002;9981;10030;0;0;0;0;
0;0;19795;1884;23564;23012;2692;17487;154265031;10003;9983;10020;0;0;0;0;
0;0;19826;1884;23562;23153;2553;17473;154265047;10001;9984;10030;0;0;0;0;
0;0;19839;1886;23629;23391;2246;17505;154065013;10005;9981;10034;0;0;0;0;
0;0;19827;1884;23565;23394;2309;17474;154175042;10003;9988;0;0;0;0;0;
0;0;19838;1887;23633;21548;4083;17520;154364999;10000;9988;10021;0;0;0;0;
0;0;19840;1886;23625;21610;4031;17497;152965020;10004;9980;10030;0;0;0;0;
0;0;19839;1886;23640;21700;3925;17531;151864988;10002;9989;10033;0;0;0;0;
0;0;19827;1885;23561;21761;3945;17436;157965079;10007;9981;10034;0;0;0;0;
0;0;19840;1886;23636;21976;3656;17499;154365017;9999;9987;10024;0;0;0;0;
0;0;19827;1884;23562;21965;3739;17449;154175072;9996;9988;10024;0;0;0;0;
0;0;19826;1885;23559;22075;3633;17449;152965068;10004;9981;10039;0;0;0;0;
0;0;19825;1885;23557;22184;3525;17434;153165086;9998;9991;10030;0;0;0;0;
0;0;19826;1883;23564;22350;3356;17474;155065040;10003;9983;10024;0;0;0;0;
0;0;19838;1886;23640;22585;3042;17522;153164996;10000;9987;10035;0;0;0;0;
