INIT;DRIVER_INIT_ZERO;DRIVER_INIT_LIST_ONE;ECUM_STATE_STARTUP_TWO;DRIVER_INIT_TWO;NVM_READALL;NVM_READALL_FINISHED;DRIVER_INIT_THREE;OPERATION;PREP_SHUTDOWN;ON_GO_OFF_ONE_A_CALLOUT;NVM_WRITEALL;NVM_WRITEALL_FINISHED;SHUTDOWN_2;PHASE_LAST;NUMBER_OF_PHASE;
0;0;19808;1887;23578;22999;2688;15376;151295144;10037;9952;10017;0;0;0;0;
0;0;19843;1893;23634;23325;2299;17478;151485040;10005;9984;10021;0;0;0;0;
0;0;19844;1892;23642;21345;4274;17419;154565098;9997;9989;10021;0;0;0;0;
0;0;19826;1891;23584;21393;4285;17413;152465102;10001;9989;10024;0;0;0;0;
0;0;19825;1890;23575;21498;4187;17403;152565118;10003;9985;10018;0;0;0;0;
0;0;19827;1891;23582;21602;4075;17406;151365112;10001;9992;10022;0;0;0;0;
0;0;19825;1890;23562;21738;3961;17426;153465095;10002;9984;10019;0;0;0;0;
0;0;19841;1893;23634;21921;3705;17450;152365070;10000;9990;10018;0;0;0;0;
0;0;19841;1892;23642;22025;3593;17450;154565071;10000;9978;10039;0;0;0;0;
0;0;19824;1890;23574;22028;3659;17413;154465107;10000;9995;10024;0;0;0;0;
0;0;19826;1891;23575;22199;3486;17418;152665101;10005;9977;10021;0;0;0;0;
0;0;19826;1891;23570;22282;3408;17395;152465127;9997;9990;10025;0;0;0;0;
0;0;19826;1890;23575;22360;3326;17397;152565121;10002;9988;10019;0;0;0;0;
0;0;19826;1891;23573;22520;3168;17414;151565105;10007;9981;10023;0;0;0;0;
0;0;19825;1892;23565;22659;3037;17416;153565097;10005;9989;10019;0;0;0;0;
0;0;19825;1892;23568;22734;2957;17405;151565115;10002;9981;10025;0;0;0;0;
0;0;19827;1890;23576;22886;2799;17400;151565118;10007;9984;10021;0;0;0;0;
0;0;19840;1892;23634;23074;2554;17472;153365043;10004;9987;10028;0;0;0;0;
0;0;19827;1891;23572;23095;2593;17417;153465103;10004;9984;119997;0;0;0;0;
0;0;19826;1891;23571;21248;4443;17424;152465096;10000;9986;10019;0;0;0;0;
0;0;19839;1893;23634;21514;4111;17487;153565031;10004;9987;10021;0;0;0;0;
0;0;19825;1891;23570;21547;4144;17436;153365083;10002;9983;10026;0;0;0;0;
0;0;19838;1892;23630;21735;3897;17497;152565023;10002;9982;10017;0;0;0;0;
0;0;19825;1891;23573;21826;3863;17439;152565077;10005;9984;10022;0;0;0;0;
0;0;19839;1892;23644;21956;3661;17490;152565026;10003;9989;10019;0;0;0;0;
0;0;19839;1893;23631;22063;3563;17497;154365026;9999;9985;10018;0;0;0;0;
0;0;19825;1891;23572;22101;3586;17428;152465094;10000;9985;10017;0;0;0;0;
0;0;19838;1892;23640;22292;3327;17487;153465039;9994;9986;10033;0;0;0;0;
0;0;19841;1893;23645;22425;3190;17504;153565015;10005;9980;10025;0;0;0;0;
0;0;19840;1892;23634;22578;3049;17504;151465015;10006;9979;10024;0;0;0;0;
0;0;19826;1889;23573;22562;3128;17418;154565104;10002;9983;10021;0;0;0;0;
0;0;19839;1892;23633;22762;2865;17487;165565034;10000;9989;10025;0;0;0;0;
0;0;19827;1892;23571;22745;2944;17426;155565090;10004;9984;10022;0;0;0;0;
0;0;19838;1893;23632;23020;2607;17482;153365039;9997;9986;10023;0;0;0;0;
0;0;19839;1893;23631;23098;2530;17484;153365036;10001;9990;10018;0;0;0;0;
0;0;19838;1892;23636;23219;2405;17490;151565030;10001;9987;119996;0;0;0;0;
0;0;19841;1892;23624;21205;4430;17469;153465054;10000;9979;10041;0;0;0;0;
0;0;19825;1892;23578;21273;4410;17413;153565105;10003;9983;10017;0;0;0;0;
0;0;19826;1890;23573;21416;4272;17414;153565105;10003;9989;10029;0;0;0;0;
0;0;19826;1891;23570;21494;4195;17411;152365108;10004;9980;10025;0;0;0;0;
0;0;19826;1890;23562;21644;4054;17411;154565112;9996;9991;10030;0;0;0;0;
0;0;19827;1890;23574;21772;3916;17405;153565116;9999;9986;10021;0;0;0;0;
0;0;19827;1892;23571;21873;3819;17409;153365108;10003;9983;10022;0;0;0;0;
0;0;19826;1891;23571;21960;3731;17404;156465112;10003;9987;10018;0;0;0;0;
0;0;19841;1892;23637;22193;3430;17486;151565034;10005;9983;10024;0;0;0;0;
0;0;19841;1892;23633;22317;3311;17473;156565044;9998;9991;10031;0;0;0;0;
0;0;19826;1891;23569;22295;3398;17398;151465115;10003;9989;10024;0;0;0;0;
0;0;19827;1890;23573;22440;3249;17410;152565105;10002;9987;10019;0;0;0;0;
0;0;19837;1892;23632;22675;2954;17481;152465040;10001;9976;10034;0;0;0;0;
0;0;19827;1891;23574;22634;3053;17398;152465123;10000;9986;10019;0;0;0;0;
0;0;19824;1891;23573;22763;2926;17402;152365118;9997;9987;10023;0;0;0;0;
0;0;19840;1892;23633;23005;2623;17475;151565041;10004;9985;10020;0;0;0;0;
0;0;19827;1891;23572;22971;2717;17421;151565102;9997;9990;10014;0;0;0;0;
0;0;19828;1891;23576;21259;4426;17444;152565074;10002;9984;10022;0;0;0;0;
0;0;19840;1893;23633;21438;4189;17508;151565014;9997;9984;10021;0;0;0;0;
0;0;19828;1891;23575;21503;4184;17427;153365090;10005;9986;10021;0;0;0;0;
0;0;19839;1892;23644;21691;3927;17499;152465016;10003;9985;10025;0;0;0;0;
0;0;19828;1890;23571;21721;3968;17453;152565069;10000;9984;10023;0;0;0;0;
0;0;19827;1891;23575;21856;3830;17427;151365092;10001;9983;10037;0;0;0;0;
0;0;19826;1890;23561;21973;3727;17427;257365094;9998;9990;10019;0;0;0;0;
0;0;19841;1892;23653;22135;3471;17490;151565030;10003;9988;10014;0;0;0;0;
0;0;19825;1889;23571;22175;3516;17407;153565115;9999;9984;10025;0;0;0;0;
0;0;19838;1892;23631;22378;3251;17499;152465023;9999;9985;10026;0;0;0;0;
0;0;19839;1892;23634;22505;3121;17495;151465027;10003;9986;10019;0;0;0;0;
0;0;19826;1891;23569;22570;3123;17446;153465073;10001;9988;10020;0;0;0;0;
0;0;19840;1893;23643;22743;2874;17489;151365032;10003;9981;10024;0;0;0;0;
0;0;19839;1891;23640;22886;2735;17485;152365030;10010;9977;10033;0;0;0;0;
0;0;19839;1892;23631;22939;2690;17474;153365049;10002;9987;10018;0;0;0;0;
0;0;19839;1892;23629;23095;2534;17482;150465044;0;0;0;0;0;0;0;
0;0;19828;1890;23562;23081;2620;17405;152465111;10008;9977;10025;0;0;0;0;
0;0;19826;1891;23572;23166;2524;17440;152685080;10000;9987;10016;0;0;0;0;
0;0;19828;1890;23565;21232;4465;17418;151465104;10001;9985;10018;0;0;0;0;
0;0;19839;1893;23642;21505;4112;17462;152665054;10010;9977;10036;0;0;0;0;
0;0;19828;1890;23574;21512;4174;17408;152565117;9999;9984;10031;0;0;0;0;
0;0;19838;1893;23624;21725;3911;17503;151465017;10004;9983;10023;0;0;0;0;
0;0;19839;1892;23630;21891;3736;17449;153475076;10000;9982;10036;0;0;0;0;
0;0;19825;1891;23570;21888;3804;17400;152465120;9999;9989;10018;0;0;0;0;
0;0;19839;1891;23637;22006;3620;17468;153565050;10007;9979;10021;0;0;0;0;
0;0;19841;1892;23633;22122;3504;17453;152465067;10005;9981;10024;0;0;0;0;
0;0;19840;1891;23633;22293;3334;17460;152565059;10005;9986;10015;0;0;0;0;
0;0;19840;1892;23628;22364;3268;17466;154865057;9999;9985;10024;0;0;0;0;
0;0;19840;1892;23633;22494;3133;17483;153375034;10005;9987;10021;0;0;0;0;
0;0;19840;1892;23637;22647;2977;17479;155565037;10005;9988;10019;0;0;0;0;
0;0;19824;1892;23568;22637;3055;17395;152565122;10003;9984;10026;0;0;0;0;
0;0;19824;1890;23567;22737;2960;17420;156565097;10003;9985;10020;0;0;0;0;
0;0;19841;1892;23641;22982;2638;17458;152565056;10007;9985;10022;0;0;0;0;
0;0;19827;1890;23574;23010;2678;17427;153365090;10005;9987;10022;0;0;0;0;
