INIT;DRIVER_INIT_ZERO;DRIVER_INIT_LIST_ONE;ECUM_STATE_STARTUP_TWO;DRIVER_INIT_TWO;NVM_READALL;NVM_READALL_FINISHED;DRIVER_INIT_THREE;OPERATION;PREP_SHUTDOWN;ON_GO_OFF_ONE_A_CALLOUT;NVM_WRITEALL;NVM_WRITEALL_FINISHED;SHUTDOWN_2;PHASE_LAST;NUMBER_OF_PHASE;
0;0;19766;1883;23717;25260;294;17956;153166266;15192;9981;19991;0;0;0;0;
0;0;19822;1885;23723;25551;0;17917;154965985;10002;10001;20001;0;0;0;0;
0;0;19801;1883;23690;0;0;0;153965328;10068;9913;19992;0;0;0;0;
0;0;19801;1888;23724;26006;9532;17936;153165984;10000;9979;19986;0;0;0;0;
0;0;19801;1886;23715;26108;9444;17953;153065957;10005;9971;19994;0;0;0;0;
0;0;19793;1884;23659;26191;9416;17881;152966030;10006;9967;19998;0;0;0;0;
0;0;19792;1885;23645;26282;9339;17884;152966102;9927;10000;19967;0;0;0;0;
0;0;19792;1884;23649;26406;9212;17837;154166139;9933;9981;19993;0;0;0;0;
0;0;19793;1884;23656;26647;8964;17883;153066037;10059;9912;19989;0;0;0;0;
0;0;19803;1886;23717;26882;8665;17930;0;0;0;0;0;0;0;0;
